oblast_intervence_nazev_en,oblast_intervence_kod,climate_share,op_zkr,op_id,fin_pravniakt_czv,fin_pravniakt_eu,fin_pravniakt_narodni_verejne,fin_pravniakt_soukr,fin_vyuct_czv,fin_vyuct_eu,fin_vyuct_narodni_verejne,fin_vyuct_verejne,fin_vyuct_soukr,fin_vyuct_narodni,n_prj,prv_opatreni_orig,prv_opatreni_id,prv_opatreni_typ,prv_opatreni_nazev
Evaluation and studies,IX.0.122,0,OP VVV,02,215331487.4006038,174741502.01297045,40589985.38763332,0,125942754.2678016,102202544.81907766,23740209.448723953,125942754.2678016,-9.778887100461772e-11,23740209.448723953,9,NA,NA,NA,NA
Evaluation and studies,IX.0.122,0,OP Z,03,159300000,131139742.5,28160257.5,0,91614269.13000001,75419156.56,16195112.57,91614269.13000001,0,16195112.57,2,NA,NA,NA,NA
Evaluation and studies,IX.0.122,0,OP ŽP,05,25694229,21840094.65,3854134.35,0,9520879,8092747.15,1428131.85,9520879,0,1428131.85,11,NA,NA,NA,NA
Information and communication,IX.0.123,0,IROP,06,130722363.51000002,111114008.94,19608354.569999997,0,94165837.4,80040961.64999999,14124875.750000002,94165837.4,-1.6880221664905548e-9,14124875.750000002,20,NA,NA,NA,NA
Information and communication,IX.0.123,0,OP D,04,49167389.97223071,41792281.47637571,7375108.495855007,0,10898007.828623855,9263306.504136028,1634701.3244878284,10898007.828623855,0,1634701.3244878293,2,NA,NA,NA,NA
Information and communication,IX.0.123,0,OP PIK,01,153452655,130434756.75,23017898.25,0,14579584.61,12392646.719999999,2186937.89,14579584.61,0,2186937.8900000006,5,NA,NA,NA,NA
Information and communication,IX.0.123,0,OP PPR,07,63990000,31995000,31995000,0,22205975.18,11102987.58,11102987.6,22205975.18,0,11102987.6,1,NA,NA,NA,NA
Information and communication,IX.0.123,0,OP TP,08,384039385.51,326433477.68,57605907.83,0,166302357.69,141357005.16,24945352.53,166302357.69,7.450580596923828e-9,24945352.53,8,NA,NA,NA,NA
Information and communication,IX.0.123,0,OP VVV,02,85195015.9823292,69135755.41927513,16059260.563054055,0,60175054.310368285,48832056.22520366,11342998.085164623,60175054.310368285,-6.053596725084076e-10,11342998.085164621,8,NA,NA,NA,NA
Information and communication,IX.0.123,0,OP Z,03,116905747.99757053,96239734.39,20666013.607570533,0,21474609.72577037,17678435.44081096,3796174.284959407,21474609.72577037,0,3796174.284959406,2,NA,NA,NA,NA
Information and communication,IX.0.123,0,OP ŽP,05,84552929,71869989.65,12682939.35,0,42497832.17,36123157.269999996,6374674.899999999,42497832.17,0,6374674.899999999,6,NA,NA,NA,NA
"Access to employment for job-seekers and inactive people, including the long-term unemployed and people far from the labour market, also through local employment initiatives and support for labour mobility",V.0.102,0,OP Z,03,22455581992.343067,18720428949.813683,3691015912.5150056,44137130.01436427,17110858166.686647,14262450483.530935,2812553982.1940136,17075004465.724945,35853700.96169765,2848407683.155713,632,NA,NA,NA,NA
"Sustainable integration into the labour market of young people, in particular those not in employment, education or training, including young people at risk of social exclusion and young people from marginalised communities, including through the implementation of the Youth Guarantee",V.0.103,0,OP Z,03,872385691.8,801640767.7200001,70744924.08,0,763444582.7500001,701533885.0400001,61910697.71,763444582.7500001,3.166496753692627e-8,61910697.71000005,8,NA,NA,NA,NA
"Equality between men and women in all areas, including in access to employment, career progression, reconciliation of work and private life and promotion of equal pay for equal work",V.0.105,0,OP PPR,07,227044372.5,113522186.25,99521908.64000002,14000277.609999998,139612837.82,69806418.82,61685524.41000001,131491943.23,8120894.590000002,69806419,62,NA,NA,NA,NA
